,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Code,Country
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW,Aruba
1,,,,,,,,,,,0.0016808325413839639,,,0.0019276567406504653,0.0016614586609772408,0.0017761963351197298,0.002110402640563464,0.0020747024450799884,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023936646656474766,0.0197655778493894,0.018841034342393294,0.02252594665150029,0.023793374392206582,0.02024823150168578,0.0188027274206214,0.01829935085638415,0.01192821590394183,0.010563366194791158,0.013093901802827025,0.010022479434642387,0.009599842187869684,0.009479466534836167,0.010166410894890102,AFG,Afghanistan
2,,,,,,,,,,,,,,,,,,,,,0.08386462591526397,0.1115023022494004,0.12043886612665296,0.13460965913381098,0.1738974280503833,0.15177835885567942,0.16352998573526797,0.18399584848757775,0.16756083905531047,0.19101465326847722,0.15595242733684486,0.09725280478809017,0.09558941864766325,0.3075895081259029,0.13405771605267966,0.04221958856144929,0.021224083803757298,0.05972253333544896,0.026171577530724726,0.1733466839881098,0.06392631274396667,0.045243538153191,0.028699324450522694,0.03761478974299675,0.03471177662367836,0.036922409478226115,0.03761495305084505,0.031140544922919906,0.03573120364029636,0.04709610047923048,0.04177584565027201,0.0325566381757201,0.032366594988593095,0.04455239421548328,0.0469546439442026,0.031054185338000632,0.02733336307106778,0.025080061002623364,0.01957129272194365,AGO,Angola
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04839139483021526,0.03314716164208069,0.026395951406294367,0.021275605794365736,0.014287019555300557,0.013205794047546878,0.01321228597782279,0.013319620045726989,0.013033871812445443,0.013572334295435999,0.013488593852395196,0.013569096761033666,0.014046880133068927,0.01367856657034188,0.015847878702177066,0.01824805119669137,0.019848686383350415,0.015172158233136966,0.015586011261316516,0.015282784555061706,0.014870715906428028,0.014089891088683814,0.01346525770264234,0.011623118806592992,0.011032033335773501,0.011089561305318093,0.011915790612308018,ALB,Albania
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AND,Andorra
5,,,,,,,,,0.0784537000585429,0.08864311633504401,0.09308845492411513,0.09034412978241868,0.08424889168181747,0.09207832063007072,0.056187679922152844,0.055870140570205964,0.052682680891272295,0.12587179219155656,0.12834342192799617,0.11262939434844865,0.10209879667232451,0.1147634164684454,0.1236947691177154,0.11368234143906397,0.11891483062529748,0.10709223184014689,0.04894538977028766,0.0948744876556185,0.0936424580868795,0.07610141806281986,0.08160917613957464,0.09297318692542923,0.06944365673842688,0.061959298539119606,0.060223286341644186,0.05085369075954301,0.04572791451424179,0.05776985588567954,0.06637025006835527,0.057213531990550036,0.0553683781665018,0.059071686262472466,0.055975958946541636,0.051726455854246775,0.05026557121549885,0.04607451376821448,0.04359138706490846,0.044877219966465785,0.04147365611033463,0.05099604754550994,0.04652203512528527,0.04330285057095467,0.04399753831707189,0.05008205424495867,0.05358117681604111,0.05455204749929846,0.045464997379739525,0.04734444538686013,0.040764427551267766,ARB,Arab World
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042311119924161596,0.052994811345191344,0.050128012480169376,0.05631571667920874,0.056121050463519624,0.04875526903119286,0.046923107244280254,0.046114738850202945,0.036564683540433185,0.03225972542084758,0.03280521369745945,0.03668022984641111,0.05457107235253075,0.06040532058493409,0.054700925051488124,0.05078637245216557,0.06039632294970746,0.05644499470070496,,,,,ARE,United Arab Emirates
7,,,0.012480771282655186,0.013256246271525326,0.009597270244712285,0.008904929308389306,0.009752735117167871,0.010386039984547412,0.012752758542504324,0.014168579195074523,0.014111921391779686,0.015610379846928934,0.02205395411201937,0.02462697923875257,0.02244716095406686,0.015224639971432908,0.04006779357579255,0.03624846230853465,0.0534407121867286,0.07302372179287206,0.08416355384668645,0.07477126622090673,0.027042351546018292,0.02739062941830379,0.03195961350254981,0.022928043843032046,0.0220810206460401,0.02237192748319887,0.021364469193535084,0.018801937799130003,0.014509184725015828,0.015068411759692946,0.0142247251275221,0.01422879973555296,0.014584853507613425,0.01473442895302613,0.012416468396535364,0.011407094659887523,0.011368855144661325,0.012209700324135962,0.011493983865448644,0.011848270572680912,0.011401216021894554,0.010775972627678175,0.008902147524684802,0.008551896926414095,0.007944508477210685,0.007986798529779456,0.007713782902710725,0.008955143765730133,0.0082037852739411,0.007642796560646768,0.008357811647564821,0.009307500558130778,0.009460871353516873,0.009218366184653522,0.008088598870598722,0.008494910223313456,0.007973107995091693,ARG,Argentina
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008182515481985383,,0.035570364824447954,0.032818590339613325,0.03907436242947153,0.03525196234595928,0.03697361548972628,0.03560024879219168,0.031271479752715305,0.02697700633299571,0.02728405212885601,0.027419915648681552,0.02871930735896172,0.02947615989742243,0.030425755902388645,0.0339558380145983,0.041570533408871166,0.04265651763993531,0.038539454065204266,0.03583766918774477,0.03997241629811359,0.039433783671693715,0.04239225744146646,0.040905622017339285,0.03848293279653846,0.04887281177288705,ARM,Armenia
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASM,American Samoa
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATG,Antigua and Barbuda
